seconds,value
358,221
357,221
356,221
355,221
354,222
353,222
352,222
351,223
350,223
349,223
348,223
347,224
346,223
345,224
344,225
343,225
342,225
341,226
340,226
339,226
338,226
337,227
336,227
335,226
334,227
333,228
332,228
331,228
330,229
329,229
328,229
327,229
326,230
325,230
324,231
323,231
322,231
321,231
320,231
319,231
318,233
317,232
316,233
315,233
314,233
313,233
312,234
311,234
310,235
309,235
308,235
307,236
306,236
305,236
304,236
303,237
302,236
301,237
300,237
299,238
298,238
297,239
296,238
295,239
294,239
293,239
292,240
291,240
290,240
289,240
288,241
287,241
286,242
285,242
284,242
283,243
282,242
281,243
280,243
279,244
278,244
277,244
276,245
275,245
274,245
273,246
272,246
271,246
270,246
269,246
268,247
267,247
266,248
265,248
264,248
263,249
262,249
261,249
260,250
259,250
258,250
257,250
256,251
255,251
254,252
253,251
252,252
251,252
250,253
249,253
248,253
247,254
246,254
245,254
244,255
243,255
242,256
241,255
240,256
239,257
238,256
237,257
236,257
235,258
234,257
233,258
232,258
231,259
230,259
229,259
228,259
227,259
226,261
225,261
224,261
223,261
222,262
221,262
220,262
219,262
218,263
217,263
216,263
215,264
214,264
213,264
212,265
211,265
210,265
209,265
208,266
207,266
206,267
205,267
204,267
203,267
202,268
201,268
200,268
199,269
198,269
197,270
196,270
195,270
194,270
193,271
192,271
191,272
190,271
189,272
188,272
187,273
186,273
185,274
184,274
183,275
182,275
181,275
180,275
179,275
178,276
177,276
176,276
175,277
174,277
173,277
172,277
171,278
170,278
169,279
168,279
167,280
166,280
165,280
164,281
163,281
162,281
161,282
160,282
159,282
158,283
157,283
156,284
155,284
154,285
153,284
152,285
151,285
150,285
149,286
148,286
147,286
146,287
145,287
144,287
143,287
142,288
141,288
140,289
139,289
138,289
137,290
136,290
135,291
134,291
133,292
132,292
131,292
130,293
129,293
128,293
127,293
126,294
125,294
124,294
123,294
122,295
121,295
120,296
119,296
118,296
117,297
116,297
115,298
114,298
113,298
112,298
111,299
110,299
109,300
108,300
107,300
106,301
105,301
104,301
103,302
102,302
101,302
100,303
99,303
98,304
97,304
96,304
95,305
94,305
93,305
92,305
91,306
90,306
89,307
88,307
87,307
86,307
85,308
84,308
83,308
82,309
81,309
80,310
79,310
78,310
77,311
76,311
75,312
74,312
73,312
72,313
71,313
70,313
69,314
68,314
67,314
66,315
65,315
64,315
63,316
62,316
61,317
60,317
59,317
58,318
57,318
56,318
55,319
54,319
53,320
52,320
51,321
50,321
49,321
48,321
47,321
46,322
45,322
44,323
43,323
42,324
41,324
40,324
39,325
38,325
37,326
36,326
35,326
34,327
33,327
32,327
31,327
30,328
29,328
28,328
27,329
26,329
25,329
24,330
23,330
22,330
21,330
20,331
19,332
18,332
17,333
16,333
15,334
14,334
13,335
12,335
11,335
10,336
9,337
8,337
7,337
6,338
5,338
4,338
3,338
2,339
1,339
0,340
